cropcode;;type
AGR;;perennial
PPH;;perennial
PPP;;perennial
SPH;;perennial
PPR;;annual
MPC;;annual
MOT;;annual
LEC;;annual
FVL;;annual
PCH;;annual
RGA;;semiperennial
PTR;;semiperennial
PRL;à vérifier;semiperennial
BRO;;semiperennial
DTY;;semiperennial
FET;;semiperennial
AUB;;vegetable
BTN;;vegetable
CAR;;vegetable
CCN;;vegetable
CCT;;vegetable
CHU;;vegetable
EPI;;vegetable
FEV;;vegetable
HAR;;vegetable
LBF;;vegetable
MLO;;vegetable
OIG;;vegetable
PAN;;vegetable
POR;;vegetable
PPO;;vegetable
PTC;;vegetable
PVP;;vegetable
SFI;;vegetable
ORP;;barley
ORH;;barley
BDH;;wheat
BDP;;wheat
BTH;;wheat
BTP;;wheat
MCR;;othercereal
CHT;;othercereal
AVH;;othercereal
AVP;;othercereal
MOH;;othercereal
SOG;;othercereal
TTH;;othercereal
TRE;;fodder
SAI;;fodder
PFH;;fodder
FFO;;fodder
CPL;;fodder
FAG;;fodder
LUZ;;fodder
MLC;;fodder
VES;;fodder
VRT;;vineyard
VRN;;vineyard
VRC;;vineyard
CZH;;rapeseed
MIS;;maiz
TOM;;tomato
OLI;;olivetree
TRN;;sunflower
CBT;;orchard
VRG;;orchard
PVT;;orchard
BOP;;notirrigated
BOR;;notirrigated
BTA;;notirrigated
CAE;;notirrigated
CEE;;notirrigated
SBO;à vérifier;notirrigated
TRU;;TRU
J5M;;semiperennial
J6P;;perennial
J6S;;perennial
JNO;;annual
MPA ;;MPA 
CEL;;annual
PEP;;semiperennial
SNE;;SNE
RVI;;semiperennial
FLP;;FLP
FLA;;FLA
FRA;;semiperennial
FSG;;FSG
MPP;;MPP
MLF;;MLF
MLG;;MLG
SPL;;SPL
