GCM	RCM	scenario	time_step	variable	file	url
CNRM-CERFACS-CNRM-CM5	CNRM-ALADIN63	historical	day	evspsblpot	evspsblpotAdjust_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_day_19510101-20051231_FAO.nc	https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/DRIAS2020_NEW/CNRM-CERFACS-CNRM-CM5/CNRM-ALADIN63/historical/day/evspsblpotAdjust/evspsblpotAdjust_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_day_19510101-20051231_FAO.nc
CNRM-CERFACS-CNRM-CM5	CNRM-ALADIN63	historical	day	evspsblpot	evspsblpotAdjust_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_day_19510101-20051231_Hg0175.nc	https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/DRIAS2020_NEW/CNRM-CERFACS-CNRM-CM5/CNRM-ALADIN63/historical/day/evspsblpotAdjust/evspsblpotAdjust_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_day_19510101-20051231_Hg0175.nc
CNRM-CERFACS-CNRM-CM5	CNRM-ALADIN63	historical	day	huss	hussAdjust_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_day_19510101-20051231.nc	https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/DRIAS2020_NEW/CNRM-CERFACS-CNRM-CM5/CNRM-ALADIN63/historical/day/hussAdjust/hussAdjust_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_day_19510101-20051231.nc
CNRM-CERFACS-CNRM-CM5	CNRM-ALADIN63	historical	day	prsn	prsnAdjust_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_day_19510101-20051231.nc	https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/DRIAS2020_NEW/CNRM-CERFACS-CNRM-CM5/CNRM-ALADIN63/historical/day/prsnAdjust/prsnAdjust_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_day_19510101-20051231.nc
CNRM-CERFACS-CNRM-CM5	CNRM-ALADIN63	historical	day	prtot	prtotAdjust_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_day_19510101-20051231.nc	https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/DRIAS2020_NEW/CNRM-CERFACS-CNRM-CM5/CNRM-ALADIN63/historical/day/prtotAdjust/prtotAdjust_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_day_19510101-20051231.nc
CNRM-CERFACS-CNRM-CM5	CNRM-ALADIN63	historical	day	rlds	rldsAdjust_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_day_19510101-20051231.nc	https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/DRIAS2020_NEW/CNRM-CERFACS-CNRM-CM5/CNRM-ALADIN63/historical/day/rldsAdjust/rldsAdjust_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_day_19510101-20051231.nc
CNRM-CERFACS-CNRM-CM5	CNRM-ALADIN63	historical	day	rsds	rsdsAdjust_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_day_19510101-20051231.nc	https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/DRIAS2020_NEW/CNRM-CERFACS-CNRM-CM5/CNRM-ALADIN63/historical/day/rsdsAdjust/rsdsAdjust_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_day_19510101-20051231.nc
CNRM-CERFACS-CNRM-CM5	CNRM-ALADIN63	historical	day	sfcWind	sfcWindAdjust_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_day_19510101-20051231.nc	https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/DRIAS2020_NEW/CNRM-CERFACS-CNRM-CM5/CNRM-ALADIN63/historical/day/sfcWindAdjust/sfcWindAdjust_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_day_19510101-20051231.nc
CNRM-CERFACS-CNRM-CM5	CNRM-ALADIN63	historical	day	tas	tasAdjust_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_day_19510101-20051231.nc	https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/DRIAS2020_NEW/CNRM-CERFACS-CNRM-CM5/CNRM-ALADIN63/historical/day/tasAdjust/tasAdjust_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_day_19510101-20051231.nc
CNRM-CERFACS-CNRM-CM5	CNRM-ALADIN63	historical	day	tasmax	tasmaxAdjust_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_day_19510101-20051231.nc	https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/DRIAS2020_NEW/CNRM-CERFACS-CNRM-CM5/CNRM-ALADIN63/historical/day/tasmaxAdjust/tasmaxAdjust_France_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_day_19510101-20051231.nc
