"id_parcel","surf_parc","code_cultu","source","id","type"
"866630",0.21,"VRC","IGN","commune.13003","vineyard"
"866628",0.3,"PRL","IGN","commune.13003","semiperennial"
"9594795",0.51,"PRL","IGN","commune.13049","semiperennial"
"878407",0.43,"VRT","IGN","commune.13154","vineyard"
"878572",1.47,"J6P","IGN","commune.13146","perennial"
"878572",1.47,"J6P","IGN","commune.13286","perennial"
"878485",0.9,"VRT","IGN","commune.13154","vineyard"
"878579",0.84,"VRC","IGN","commune.13154","vineyard"
"1054889",51.6,"SPH","IGN","commune.13227","perennial"
"1054890",3.94,"PPH","IGN","commune.13227","perennial"
"14127560",158.06,"SPH","IGN","commune.13227","perennial"
"12181072",1.46,"PPH","IGN","commune.12954","perennial"
"3548756",0.71,"VRC","IGN","commune.12955","vineyard"
"3445642",0.89,"ORP","IGN","commune.13194","barley"
"12316166",0.09,"VRG","IGN","commune.13212","orchard"
"3443533",0.28,"VRC","IGN","commune.12947","vineyard"
"12309768",0.28,"VRC","IGN","commune.12999","vineyard"
"3466946",2.36,"VRC","IGN","commune.13139","vineyard"
"12305516",0.04,"OLI","IGN","commune.13013","olivetree"
"12305514",0.53,"OLI","IGN","commune.13013","olivetree"
"12305513",0.2,"VRC","IGN","commune.13013","vineyard"
"3519638",1.73,"VRC","IGN","commune.12921","vineyard"
"10133909",0.46,"VRN","IGN","commune.13154","vineyard"
"3436709",2.38,"VRC","IGN","commune.13286","vineyard"
"3472078",1.82,"VRC","IGN","commune.13161","vineyard"
"12309084",0.27,"VRC","IGN","commune.13052","vineyard"
"12309084",0.27,"VRC","IGN","commune.13105","vineyard"
"12309085",0.46,"VRC","IGN","commune.13184","vineyard"
"12309086",0.62,"VRC","IGN","commune.13105","vineyard"
"12309087",0.73,"VRC","IGN","commune.13052","vineyard"
"12309087",0.73,"VRC","IGN","commune.13105","vineyard"
"3468601",0.01,"OLI","IGN","commune.12999","olivetree"
"3468603",0.19,"VRT","IGN","commune.12999","vineyard"
"3468604",0.28,"VRC","IGN","commune.12999","vineyard"
"3450960",0.91,"VRC","IGN","commune.13012","vineyard"
"3450961",0.66,"SAI","IGN","commune.13012","fodder"
"12301896",0.65,"PTR","IGN","commune.13109","semiperennial"
"3447239",0.5,"PTR","IGN","commune.13070","semiperennial"
"3446814",9.63,"SPH","IGN","commune.13070","perennial"
"3446814",9.63,"SPH","IGN","commune.13070","perennial"
"3446891",3.2,"PTR","IGN","commune.13063","semiperennial"
"3446891",3.2,"PTR","IGN","commune.13070","semiperennial"
"3468787",0.06,"OLI","IGN","commune.13264","olivetree"
"10136116",0.45,"SPH","IGN","commune.13143","perennial"
"3468777",0.13,"VRC","IGN","commune.13218","vineyard"
"3468777",0.13,"VRC","IGN","commune.13264","vineyard"
"3468782",0.01,"OLI","IGN","commune.13264","olivetree"
"12301236",0.11,"VRT","IGN","commune.13150","vineyard"
"12301234",0.46,"VRC","IGN","commune.13150","vineyard"
"10136147",0.58,"SPH","IGN","commune.13143","perennial"
"3472757",0.4,"VRC","IGN","commune.12923","vineyard"
"3498860",0.28,"SPL","IGN","commune.12978","SPL"
"3498864",3.16,"SPL","IGN","commune.12978","SPL"
"3498856",4.69,"SPL","IGN","commune.12978","SPL"
"3467119",0.8,"VRC","IGN","commune.13154","vineyard"
"3467121",0.8,"VRC","IGN","commune.13154","vineyard"
"3467120",1.77,"VRC","IGN","commune.13154","vineyard"
"3467117",0.29,"VRC","IGN","commune.13154","vineyard"
"3467118",0.29,"VRC","IGN","commune.13154","vineyard"
"12306090",0.11,"SPL","IGN","commune.12978","SPL"
"3498688",50.44,"SPL","IGN","commune.13227","SPL"
"3498687",8.79,"SPL","IGN","commune.13227","SPL"
"3496346",1.47,"SPH","IGN","commune.13231","perennial"
"3521267",0.51,"VRC","IGN","commune.13214","vineyard"
"3516446",1.05,"VRC","IGN","commune.13214","vineyard"
"3436991",0.95,"SPH","IGN","commune.13214","perennial"
"12319634",0.06,"VRC","IGN","commune.13218","vineyard"
"10135982",0.82,"VRC","IGN","commune.13146","vineyard"
"3466911",0.72,"VRC","IGN","commune.13154","vineyard"
"3446250",0.61,"VRC","IGN","commune.13041","vineyard"
"3487631",0.51,"CBT","IGN","commune.13049","orchard"
