"type","total_surface","prop_surface","year"
"perennial",22675.1,0.369729984977696,2018
"SPL",20882.63,0.340502775123144,2018
"vineyard",9323.13,0.152018765731799,2018
"notirrigated",2370.47,0.0386518179628791,2018
"semiperennial",1438.15,0.0234498272508467,2018
"SNE",1312.18,0.0213958170719438,2018
"wheat",694.35,0.0113217588927618,2018
"fodder",588.16,0.00959027249998818,2018
"J5M",316.44,0.00515972835605322,2018
"RVI",296.59,0.00483606318139876,2018
NA,281.29,0.00458658826088424,2018
"olivetree",260.52,0.00424792197989819,2018
"othercereal",205.76,0.00335503004216126,2018
"barley",172.06,0.0028055329950149,2018
"annual",84.14,0.00137194900732625,2018
"MLG",83.16,0.00135596956797303,2018
"J6P",82.67,0.00134797984829642,2018
"J6S",63.91,0.00104208772353483,2018
"maiz",55.61,0.000906751655543292,2018
"orchard",40.39,0.000658581179057608,2018
"sunflower",26.65,0.000434542917105354,2018
"FSG",16.93,0.000276052967602013,2018
"FLA",15.97,0.000260399639256004,2018
"FLP",15.85,0.000258442973212753,2018
"TRU",14.79,0.000241159089830701,2018
"rape",3.56,5.80477592831167e-05,2018
"vegetable",3.46,5.64172042470741e-05,2018
"PEP",3.18,5.18516501461548e-05,2018
"tomato",1.2,1.95666604325112e-05,2018
"FRA",0.51,8.31583068381728e-06,2018
"perennial",23958.5,0.388210621012227,2019
"SPL",20192.37,0.327186280335107,2019
"vineyard",9517.61,0.154218222703933,2019
"notirrigated",1787.3,0.0289604458933219,2019
"semiperennial",1507.74,0.0244306063286506,2019
"SNE",1449.18,0.0234817316509172,2019
"fodder",831.03,0.0134655622171585,2019
"wheat",594.09,0.00962631416145226,2019
"J5M",302.84,0.00490705613737683,2019
"RVI",269.95,0.00437412430420313,2019
"olivetree",266.86,0.00432405560963011,2019
"othercereal",218.42,0.0035391599574886,2019
"barley",172.9,0.00280157841154555,2019
"MLG",130.84,0.00212006084075546,2019
"annual",115.23,0.00186712481412605,2019
"maiz",72.43,0.00117361668217608,2019
"J6S",69.07,0.0011191730531258,2019
"J6P",60.36,0.000978040907581778,2019
"FSG",42.14,0.000682813847672235,2019
"orchard",35.19,0.0005701997935355,2019
"FLA",27.2,0.000440734139930821,2019
"sunflower",23.47,0.000380295230300602,2019
"FLP",20.07,0.000325203462809249,2019
NA,15.32,0.000248237022931624,2019
"TRU",11.99,0.000194279497712152,2019
"MLF",9.38,0.000151988464432026,2019
"rape",5.77,9.34939701250308e-05,2019
"PEP",3.18,5.15270060654416e-05,2019
"vegetable",2.74,4.43974832136195e-05,2019
"tomato",1.74,2.81940221867511e-05,2019
"FRA",0.3,4.86103830806052e-06,2019
"perennial",23645.55,0.37638299027221,2020
"SPL",20924.61,0.333071858429167,2020
"vineyard",9815.93,0.15624711988948,2020
"notirrigated",2043.99,0.0325356385572125,2020
"semiperennial",1603.89,0.0255302547104083,2020
"SNE",1520.64,0.0242051054142337,2020
"fodder",952.21,0.0151570019376627,2020
"wheat",440.68,0.00701461611817689,2020
"J5M",308.7,0.00491379684959882,2020
"RVI",272.44,0.00433662071170943,2020
"olivetree",267.06,0.00425098343587256,2020
"othercereal",227.13,0.00361538930498665,2020
"barley",202.88,0.0032293848553502,2020
"MLG",104.97,0.00167088194137476,2020
"J6S",80.1,0.00127500851199503,2020
"maiz",72.91,0.00116056018239148,2020
"J6P",58.97,0.00093866731526026,2020
"annual",51.52,0.000820080381248238,2020
"orchard",39.36,0.000626521036605797,2020
"MLF",37.38,0.000595003972264347,2020
"FLA",28.55,0.00045445059946889,2020
"sunflower",26.2,0.000417043982699997,2020
"FLP",23.06,0.000367062375613051,2020
"vegetable",22.46,0.000357511750055035,2020
"FSG",19.1,0.00030402824693015,2020
"TRU",16.27,0.000258981129714845,2020
"rape",6.95,0.000110628079380343,2020
"PEP",3.44,5.47569198659538e-05,2020
"JNO",2.17,3.45414291014883e-05,2020
"MPP",1.15,1.83053656528625e-05,2020
"tomato",1.02,1.62360634486258e-05,2020
NA,0.93,1.48034696149236e-05,2020
"FRA",0.83,1.32116986885877e-05,2020
"CEL",0.06,9.5506255580152e-07,2020
"perennial",25593.57,0.385998169064428,2021
"SPL",21373.26,0.322348122084491,2021
"vineyard",10160.48,0.153238750077294,2021
"notirrigated",2678.99,0.0404041028641925,2021
"semiperennial",1655.58,0.0249691953385044,2021
"SNE",1482.17,0.0223538531843046,2021
"fodder",988.9,0.0149144331716057,2021
"wheat",452.14,0.00681910386713501,2021
"barley",337.09,0.00508393798950002,2021
"J5M",269.39,0.00406289731226501,2021
"RVI",265.18,0.00399940275907211,2021
"olivetree",254.19,0.00383365331973957,2021
"othercereal",166.57,0.00251218235756332,2021
"MLG",120.7,0.00182037828275135,2021
"J6S",82.21,0.00123987819904713,2021
"J6P",63.76,0.000961618221277764,2021
"MLF",59.03,0.000890281110445834,2021
"maiz",57.55,0.000867959984857831,2021
"orchard",49.45,0.000745797067788354,2021
"sunflower",35.09,0.000529221822218267,2021
"FLA",30.02,0.000452756885237743,2021
"annual",29.16,0.000439786501450119,2021
"FLP",22.64,0.000341452894129996,2021
"FSG",21.06,0.000317623584380642,2021
"TRU",15.65,0.000236030821251521,2021
NA,13.79,0.000207978595850382,2021
"rape",13.73,0.000207073685353571,2021
"PEP",6.18,9.32057811715273e-05,2021
"vegetable",4.62,6.96781082544427e-05,2021
"tomato",1.76,2.65440412397877e-05,2021
"FRA",0.93,1.40261127005696e-05,2021
"CEL",0.06,9.04910496810945e-07,2021
"perennial",25731.83,0.382792121915901,2022
"SPL",21648.98,0.322054785513308,2022
"vineyard",10243.64,0.152386545836134,2022
"notirrigated",2936.94,0.0436905379267501,2022
"semiperennial",1881.68,0.0279922679407844,2022
"SNE",1530.8,0.0227725031693767,2022
"fodder",974.67,0.0144993961746122,2022
"wheat",404,0.00600998907788619,2022
"RVI",341.56,0.00508111848871982,2022
"olivetree",251.62,0.0037431521083607,2022
"barley",239.86,0.00356820787183609,2022
"J5M",220.95,0.00328689872960137,2022
"othercereal",164.03,0.00244014482288532,2022
"J6S",86.18,0.00128203182854513,2022
"MLG",83.1,0.00123621309993154,2022
"MLF",73.57,0.00109444281302002,2022
"J6P",67.83,0.00100905336424015,2022
"orchard",57.84,0.000860440020457765,2022
"maiz",56.33,0.000837976942468636,2022
"annual",54.66,0.000813133670785294,2022
"sunflower",37.88,0.000563510857104774,2022
"FLA",36.03,0.000535989867515444,2022
"FLP",21.94,0.000326384060318869,2022
NA,18.45,0.000274466085363862,2022
"FSG",17.95,0.000267027980069448,2022
"TRU",16.73,0.000248879003151079,2022
"rape",13.62,0.000202613988219826,2022
"vegetable",3.47,5.16204507432304e-05,2022
"PEP",2.81,4.18021517546044e-05,2022
"tomato",1.74,2.58846064245593e-05,2022
"FRA",0.73,1.08596337298439e-05,2022
